AREA NAME,DATE,unemployment_rate
Pacific,2020-01-31,5.385650669773483
Pacific,2020-02-29,14.0628844625138
Pacific,2020-03-31,13.860789136251674
Pacific,2020-04-30,7.33752524192145
Pacific,2020-05-31,7.662116206147134
Pacific,2020-06-30,6.461116540948844
Pacific,2020-07-31,4.369799897150983
Pacific,2020-08-31,8.680280755886566
Pacific,2020-09-30,13.832319436495855
Pacific,2020-10-31,13.226811908724848
Pacific,2020-11-30,9.869765676823128
Pacific,2020-12-31,7.279518759539772
Pacific,2021-01-31,9.190190821049043
Pacific,2021-02-28,9.797565326938873
Pacific,2021-03-31,3.3245793755014312
Pacific,2021-04-30,11.760521945375084
Pacific,2021-05-31,13.056564750262865
Pacific,2021-06-30,11.253982440190772
Pacific,2021-07-31,9.134080630731496
Pacific,2021-08-31,13.671693440136341
Pacific,2021-09-30,14.701113411458023
Pacific,2021-10-31,8.754212056207749
Pacific,2021-11-30,7.532243757482992
Pacific,2021-12-31,14.503281389369516
Pacific,2022-01-31,12.882531033927293
Pacific,2022-02-28,14.672798576859233
Pacific,2022-03-31,3.790993991364004
Pacific,2022-04-30,11.433831427848768
Pacific,2022-05-31,9.196508483347138
Pacific,2022-06-30,9.218079149390256
Pacific,2022-07-31,13.20674848181168
Pacific,2022-08-31,3.687954518578446
Pacific,2022-09-30,3.835058031407971
Pacific,2022-10-31,6.165819651525858
Pacific,2022-11-30,10.25753780184186
Pacific,2022-12-31,13.390214119751537
Pacific,2023-01-31,6.3488234607517064
Pacific,2023-02-28,12.020978325253157
Pacific,2023-03-31,9.992601038727296
Pacific,2023-04-30,9.276873193991896
Pacific,2023-05-31,11.321957599142136
Pacific,2023-06-30,14.628946522017467
Pacific,2023-07-31,4.858890139876372
Pacific,2023-08-31,5.459125474218197
Pacific,2023-09-30,5.8352320065648655
Pacific,2023-10-31,6.6117584918372625
Pacific,2023-11-30,4.922964970880483
Pacific,2023-12-31,6.97436876982238
Pacific,2024-01-31,7.864720204210075
Pacific,2024-02-29,3.6209665079912265
Pacific,2024-03-31,10.377177583097298
Pacific,2024-04-30,10.586396261077141
Pacific,2024-05-31,3.319254295608265
Pacific,2024-06-30,6.757121207775902
Pacific,2024-07-31,8.877217166865137
Pacific,2024-08-31,10.881269404529872
Pacific,2024-09-30,14.42689055408826
Pacific,2024-10-31,9.712204274339793
Pacific,2024-11-30,4.085574810612939
Pacific,2024-12-31,13.703810642984898
Pacific,2025-01-31,9.85666989214845
Pacific,2025-02-28,13.156232139380997
Pacific,2025-03-31,7.6537846312403595
Pacific,2025-04-30,13.235485878127172
Pacific,2025-05-31,9.853178587562171
Pacific,2025-06-30,14.695423597669429
Pacific,2025-07-31,11.542937194281789
Pacific,2025-08-31,7.664969446181926
Pacific,2025-09-30,7.577720973146333
Central,2020-01-31,7.582921263676631
Central,2020-02-29,13.636156277065275
Central,2020-03-31,14.465438615131857
Central,2020-04-30,7.676058951380414
Central,2020-05-31,11.863041780450528
Central,2020-06-30,3.10244286297367
Central,2020-07-31,3.333731934548921
Central,2020-08-31,10.774360260728873
Central,2020-09-30,7.206891573136925
Central,2020-10-31,10.279026976727469
Central,2020-11-30,5.798013138383652
Central,2020-12-31,3.1717813312377063
Central,2021-01-31,7.043844126700968
Central,2021-02-28,14.493559098743185
Central,2021-03-31,14.875417955261469
Central,2021-04-30,14.39797260223433
Central,2021-05-31,7.182618807236667
Central,2021-06-30,8.801948124929902
Central,2021-07-31,6.119185472586635
Central,2021-08-31,13.972982042037758
Central,2021-09-30,5.347058785004595
Central,2021-10-31,9.287747621223824
Central,2021-11-30,8.435472360050198
Central,2021-12-31,11.443267721727928
Central,2022-01-31,6.08588712857856
Central,2022-02-28,8.58814417554225
Central,2022-03-31,8.076216818125554
Central,2022-04-30,7.0686331138376035
Central,2022-05-31,9.079682374119932
Central,2022-06-30,5.79209151122066
Central,2022-07-31,5.901786313745413
Central,2022-08-31,11.458010253859724
Central,2022-09-30,13.221982433181632
Central,2022-10-31,6.335814699263903
Central,2022-11-30,4.172473698996068
Central,2022-12-31,8.777111074587609
